AccountID,StudentID,Group,Account Name,Role,SatisfactionScore,Opinion
67456,64214,EDUCATION,ziqiongl,student,5,オープニング、1 データサイエンスとは、2 Pythonの基礎・実践について動画を視聴しました。データサイエンスについて、その定義・データの種類、収集方法について理解を深めました。また、データの理解、データの前処理、モデル構築、モデル評価というデータサイエンスの流れを学びました。Pythonについて、演算子、変数、関数などの基礎知識を学びました。また、Google Colabを用い、コーディング実践過程を習得しました。最後に、NumPyやPandasなどの主要ライブラリの活用方法について理解を進めました。
67377,64134,EDUCATION,takatoshiaoki,student,5,データサイエンスについての基本的な概念や基本的なPythonの文法について学びました。具体的には＊などの演算子やprint、if等の関数についてです。
67346,64100,EDUCATION,yutaro1225,student,3,pythonの基礎、およびデータ分析に関わる超基礎的な値の確認と、それらのpythonでの計算の方法。
67332,64092,EDUCATION,H-Shinkai,student,4,データサイエンスは、データの理解、データの前処理、モデルの構築、モデルの評価の4段階で行うということ、Pythonの基礎的な書き方を学びました。
67308,64067,EDUCATION,ktkt_aiai,student,4,現代社会には大量のデータが存在するものの、すぐに活用できる形にはなっていない。そのため、データの前処理が重要になってくることが分かった。\nPythonの基本的な関数の使い方を学んだ。\nメソッドやオブジェクトの使い方を学んだ。
67264,64022,EDUCATION,Kyaoi0701,student,5,データサイエンスの流れとして、\n\n1. データの理解\n2. データの前処理\n3. モデルの構築\n4. モデル評価\n\nという流れになることについて理解しました。\nこの中身について詳しく学習していけるのが楽しみです。
67206,63961,EDUCATION,MatsumotoDaichi,student,4,今まで雰囲気で理解していたものが一つ一つ丁寧に構造化されたようになったので、実のある時間だったと感じました。
67198,63959,EDUCATION,Totomixerhiro,student,3,プログラミング言語のPythonで､プログラムで扱う値の種類は､データ型として区別されるのを初めて知り､データ型が何と対応してるのかが､わかりました｡高校で習う情報1で学んだことと似ていたので､学びやすかったです｡
67146,63926,EDUCATION,m-hashimoto925,student,4,"平均二乗誤差は、数値のスケールによって変動するため、同じモデル間での比較に適する。Pythonの演算子、変数、データ型(int,float,str,bool,list)、リスト、関数(sum,len,max,min)、メソッド(関数とは異なり、score.index(50)のような形で利用)、便利なライブラリのインポート方法(NumPy,pandas,matplotlib,scikit-learn)、オブジェクトとクラスについて学んだ。"
67121,63894,EDUCATION,popochan3250,student,5,基本文法としては、print()での出力、変数の定義と演算、リストを使った複数のデータの管理があり、四則演算やべき乗、比較演算も扱える。また、演算結果は真偽判断をbool値で返される。このように、Pythonはコードがシンプルで読みやすいため、直感的に理解しながらプログラムをかけるのが魅力だ。
67113,63886,EDUCATION,marikatto,student,5,pythonの基本的な変数などについて思い出すことができた。データサイエンスや機械学習ということについて、概念は知っていたが、より詳細な分類については知らなかったので勉強になった。
67100,63872,EDUCATION,H_Suzuki,student,5,データサイエンスとは大量のデータを分析して価値を生み出す分野のことで、主な活用としては売上などの予測が挙げられる。データの理解、前処理、モデルの構築、そして評価を、各段階のフィードバックを回しながら目的達成を目指す。具体的に用いられる言語として、本講座ではツールが揃っているPythonを用いる。
67080,63823,EDUCATION,Kazuya0824,student,3,プログラミングの初歩を学べた
67068,63806,EDUCATION,yusuke333,student,4,パイソンの概要について学んだ。プログラミングと聞いてはじめはとても難しそうに感じたが、今回の授業で案外自分でも理解することができるということも学んだ。
67057,63796,EDUCATION,KitayaHaruki,student,4,データサイエンスの流れについて学んだ。データサイエンスにはモデルを構築してそれを元に予想するが、その前段階としてモデルに用いられるデータの理解や前処理も大切と学んだ。また、pythonの実装環境の使い方やデータ型の理解など基礎的なことを学んだ。
67051,63790,EDUCATION,KazuyaNAKAGAWA,student,3,プログラムの概要
67047,63783,EDUCATION,Minato1115,student,4,機械学習やデータサイエンスをする上での流れや段階を知ることができた。またゴールや目標もしれた。これから頑張れそうだと思った。
67018,63753,EDUCATION,tanpakusitu,student,5,Pythonの基礎の知識や統計の仕方の種類や機械学習のないようなどを学んだ。
67003,63760,EDUCATION,popopopop1215,student,5,本日の講義では、事前学習としてデータサイエンスの大きな流れやpythonの基本的な使い方について復習した。データサイエンスの流れは大きく分けて4つあり、工程を分けてはいるものの、必要に応じて戻ることも多い。また、pythonの使い方については、ライブラリや関数を学んだ。
66985,63741,EDUCATION,taberunosuki112,student,5,Pythonの使い方やデータサイエンスが何なのかなどについて学んだ。また、そのほかに統計や機械学習について学ぶことができた。これらは、自身が大学で学ぶ機械工学と通ずるところが多いので大きな興味を抱いた。
66980,63733,EDUCATION,giyuu884,student,5,統計などの話から総括的に簡潔に説明されていたので、とても全体を見渡しやすかった。Pythonの基礎、実践を、いちから身につけることができた。
66977,63729,EDUCATION,KenichiHonma,student,3,pythonの基本的な文法をまず知らなかったのでこれから深く学ぼうとしてる私みたいなタイプの方にはとても良い機会だと思いました。
66972,63718,EDUCATION,Hinata0201,student,5,変数　変数のデータ化　リスト　関数　オブジェクトなど
66966,63707,EDUCATION,MikuroXina,student,5,Python及びデータサイエンスでよく利用されるライブラリの基本的な利用方法と関連する統計の概念について学んだ.
66964,63702,EDUCATION,Yuto0605,student,5,データサイエンスとは何か、データサイエンスはどのような分野に活かされているのか理解できた。また、データの処理や活用の仕方、Pythonの基本的な扱い方について学習できた。
66958,63691,EDUCATION,kei19830715,student,5,本日の講義では、データサイエンスの手順や流れについて学習した。以前は、得られたデータをそのままモデルの構築に利用できるものと考えていたが、前提として可視化等によるデータの理解や扱いやすいよう前処理を行う必要があることが理解できた。
66952,63681,EDUCATION,sweetfish,student,5,= は代入、== は左右の値が同じかを示す。x = x + 1とある際、右から計算する。メソッドは自身に処理を実行する。
66951,63679,EDUCATION,5kinoo20,student,3,　
66944,63671,EDUCATION,tomoki225255,student,5,"データサイエンスやAIの学習のために必要な事前知識を、Pythonの使い方からデータサイエンス, AIの基礎の基礎から取り扱っており、網羅的に学ぶことができた。"
66943,63668,EDUCATION,Urano2002,student,5,データサイエンスとは、についてその流れを具体例とともに理解することができた。また、Pythonの関数や諸概念について実際にコードを書いたり確認しながら理解することができた。
66928,63648,EDUCATION,keserasera,student,4,数学の知識以上にプログラミングの組み立て方を理解することが重要だと学んだ。また、入力を簡略化できることも理解したが、初学者のうちは丁寧に手順を踏んで入力することを意識したい。
66920,63653,EDUCATION,seitonko2,student,4,データサイエンスの流れとPythonの基本的な内容が理解できた
66915,63642,EDUCATION,KurumiA-ru,student,4,データサイエンスとは何であるかということやその流れ。データサイエンスに必要なPythonの基本。標準偏差など統計的考え方の基本、機械学習の具体的な手法の種類。
66913,63635,EDUCATION,Yutarosan,student,4,データ分析やモデル構築に必要な基礎的なコーディング、理論について学んだ。特に、身についたと感じたのは演習部分で実装経験を積むことができた部分である。ただ、変数名から考察すると、ときどき、これからどのようにデータフレームをマージしていくのか理解している前提で名付けられていたため、最終的にはモデル構築までの流れをある程度理解している状態で作業に取りかかる必要があると予想できた。
66911,63099,OTHER,Diocletianus,student,3,データ分析について、これまでの漫然とした経験を再整理できました。
66908,63629,EDUCATION,nagi1852,student,5,データサイエンティストに必要な知識を学び得ることができた。また、統計学の基礎知識を見返すことができた。
66907,63628,EDUCATION,harinezumi,student,5,機械学習について、データサイエンスやPythonなどの基礎的な部分から学んだ。
66903,63654,EDUCATION,kanaya-nii,student,3,データサイエンスの基本的な考え、モデル構築・評価の流れについて学んだ。Pythonについては知っている範囲であったが、type()関数など見落としていた部分を知ることが出来た。
66901,63621,EDUCATION,Puririne,student,4,コードの基礎的なワードを知れたこと。
66895,63618,EDUCATION,shusukemiura,student,4,データサイエンスとはどういうものなのか。そしてデータをどのように活用するべきなのかなどの単にプログラミング学習するだけではない基礎的な大切なことを学ぶことができた。またpythonの基礎的な部分を学ぶことができた。
66883,63589,EDUCATION,Sara0313,student,5,pythonの基礎を実践しながら効率よく学習できた。学校で学んだ統計についての知識の再確認もでき、機械学習について大まかに理解することができた。
66878,63581,EDUCATION,shuuuu12002,student,5,今回は事前の学習ということで、データサイエンスの大まかな流れについて、またPythonの基礎とその実践を行なった。また、データを統計的に処理するために基本的な統計学の知識を深めた。ヒストグラムや平均値・中央値の定義を理解するとともにPythonを用いて計算を行なった。
66872,63600,EDUCATION,mirai6622,student,5,データサイエンスとはどんなものか、という概要から学び始めることができたので良かったです。また、pythonの説明も非常にわかりやすく、これからの学習がより一層楽しみになりました。
66870,63568,EDUCATION,ykurumi2003,student,4, 
66857,63544,EDUCATION,akiohashi0423,student,5,データサイエンスとは、大量のデータを分析して新しい価値を生み出す学問分野である。データサイエンスの流れは、1. データの理解2. データの前処理3. モデル構築4. モデル評価を行きつ戻りつして進む。Python については、関数やメソッド、オブジェクトやライブラリについて学んだ。
66837,63543,EDUCATION,hachibee_703,student,3,初期設定と使い方
66828,63534,EDUCATION,ayaka_57,student,4,Pythonの使い方を学ぶことが出来た。初めて見るツールだったため初めはよく分からなかったが、大まかな使用方法は学ぶことが出来た。
