アカウントID,StudentID,Group,Account Name,Role,SatisfactionScore,Opinion
67520,64265,EDUCATION,Unobaby3,student,,
67519,64263,EDUCATION,Meijidegaku,student,,
67517,64261,EDUCATION,hitode1234,student,,
67516,64260,EDUCATION,zuka0123,student,,
67515,64258,EDUCATION,AkitoKobayashi26,student,,
67514,64257,EDUCATION,301rdt88,student,,
67513,64256,EDUCATION,Moharuto,student,,
67512,64255,EDUCATION,daimiya18,student,,
67511,64253,EDUCATION,Soyusoyu,student,,
67509,64252,EDUCATION,Kotoriri,student,,
67507,64250,EDUCATION,manaka03,student,,
67504,64246,EDUCATION,Daigenki,student,,
67503,64244,EDUCATION,florigen_,student,,
67502,64241,EDUCATION,KKnagoya,student,,
67501,64243,EDUCATION,akalingo,student,,
67500,64242,EDUCATION,Hikari0226,student,,
67499,64237,EDUCATION,motoi1949,student,,
67498,64238,EDUCATION,kazuki27,student,,
67497,64236,EDUCATION,TYuichiro,student,,
67496,64235,EDUCATION,HonDa2657,student,,
67495,64251,EDUCATION,UnumaMisaki,student,,
67494,64234,EDUCATION,MasaharuKato,student,,
67492,64239,EDUCATION,AAIUIAIO,student,,
67488,64248,EDUCATION,nagoshiyusuke754,student,,
67486,64245,EDUCATION,luna3kaneko,student,,
67482,64264,EDUCATION,kamei1030,student,,
67479,64232,EDUCATION,kunioayumu,student,,
67478,64231,EDUCATION,IwaizumiHidetaka,student,,
67477,64240,EDUCATION,Koboretaco-hi-,student,,
67476,64233,EDUCATION,Satoru12,student,,
67475,64230,EDUCATION,katsumura,student,,
67474,64229,EDUCATION,tamagoro,student,,
67473,64226,EDUCATION,kwgchntsh,student,,
67472,64228,EDUCATION,noguchin,student,,
67471,64227,EDUCATION,tanaka1111,student,,
67470,64225,EDUCATION,shunsukenemo330,student,,
67469,64224,EDUCATION,hasetama,student,,
67468,64223,EDUCATION,zzz091318,student,,
67467,64222,EDUCATION,kasaharakaito,student,,
67465,63852,OTHER,shibatasae,student,,
67464,64219,EDUCATION,YukitoKimura,student,,
67463,64215,EDUCATION,wjunperi,student,,
67462,64216,EDUCATION,yuto63sss,student,,
67461,64212,EDUCATION,Yomogi2025,student,,
67460,64210,EDUCATION,sakuratanaka3,student,,
67459,64207,EDUCATION,wanisimo,student,,
67458,64206,EDUCATION,KazukiNakai,student,,
67457,64204,EDUCATION,TaiseiMurayama,student,,
67456,64214,EDUCATION,ziqiongl,student,5,オープニング、1 データサイエンスとは、2 Pythonの基礎・実践について動画を視聴しました。データサイエンスについて、その定義・データの種類、収集方法について理解を深めました。また、データの理解、データの前処理、モデル構築、モデル評価というデータサイエンスの流れを学びました。Pythonについて、演算子、変数、関数などの基礎知識を学びました。また、Google Colabを用い、コーディング実践過程を習得しました。最後に、NumPyやPandasなどの主要ライブラリの活用方法について理解を進めました。
67455,64203,EDUCATION,Albatross,student,,
67454,64202,EDUCATION,MasaF4731,student,,
67453,64194,EDUCATION,miakeryu,student,,
67452,64195,EDUCATION,ShoFukami,student,,
67451,64199,EDUCATION,Yukiroba,student,,
67449,64196,EDUCATION,Dachshund_Pro,student,,
67448,64193,EDUCATION,Yuma_Murase,student,,
67447,64190,EDUCATION,ebi_kani_furai,student,,
67445,64186,EDUCATION,avogador,student,,
67444,63851,OTHER,MlabKUBOT,student,,
67443,64191,EDUCATION,hiroaki612,student,,
67442,64185,EDUCATION,ogawatakumu,student,,
67441,64184,EDUCATION,Metal888Opal,student,,
67440,64181,EDUCATION,YukitoTago,student,,
67438,64180,EDUCATION,ragondmaori,student,,
67437,64179,EDUCATION,IkutoKishida,student,,
67436,64178,EDUCATION,09kokoro,student,,
67435,64177,EDUCATION,TTen1010,student,,
67434,64176,EDUCATION,Cafeteria_0531,student,,
67433,64175,EDUCATION,taku20027260,student,,
67432,64198,EDUCATION,matsumoto07,student,,
67431,64174,EDUCATION,pulsared,student,,
67429,64173,EDUCATION,steve-ryobs,student,,
67428,64171,EDUCATION,Xx_GANGIMARI_xX,student,,
67427,64172,EDUCATION,mitiru_Twitch,student,,
67426,64168,EDUCATION,huiishan99,student,,
67424,64167,EDUCATION,kubozono23,student,,
67423,64165,EDUCATION,y2020015,student,,
67420,64162,EDUCATION,RikuHayamizu,student,,
67419,64163,EDUCATION,kantaro422,student,,
67418,64182,EDUCATION,may__y05,student,,
67417,64158,EDUCATION,hieidasuzuha,student,,
67416,64157,EDUCATION,nmmgnmgm,student,,
67415,64154,EDUCATION,SotaTakahashi,student,,
67414,64152,EDUCATION,jepimaru,student,,
67413,64150,EDUCATION,YifeiHuang,student,,
67411,64151,EDUCATION,Hayashi-balloon,student,,
67410,64149,EDUCATION,maiiyonaga,student,,
67409,64183,EDUCATION,marie1234,student,,
67408,64147,EDUCATION,KEN3336N,student,,
67406,64143,EDUCATION,MayukoSuzuki,student,,
67405,63848,INVITED_COMPANY,,student,,
67402,64141,EDUCATION,gbuaistsar,student,,
67401,64139,EDUCATION,imse_knf,student,,
67400,64140,EDUCATION,yusakuhosokawa,student,,
67398,64254,EDUCATION,TaiyoEguchi,student,,
67397,64145,EDUCATION,hinata_ariake,student,,
67396,64146,EDUCATION,ni4141005,student,,
67393,64200,EDUCATION,Yoshi555,student,,
67390,64188,EDUCATION,saku_rasana,student,,
67388,64160,EDUCATION,Katsu0725,student,,
67387,64259,EDUCATION,munetatsu1729,student,,
67386,64166,EDUCATION,41090112a,student,,
67385,64189,EDUCATION,KaiMagor,student,,
67383,64187,EDUCATION,temple77,student,,
67381,64209,EDUCATION,Chiemi_62,student,,
67380,64137,EDUCATION,ryota0526,student,,
67379,64136,EDUCATION,25MaRiee,student,,
67378,64135,EDUCATION,happym1019,student,,
67377,64134,EDUCATION,takatoshiaoki,student,5,データサイエンスについての基本的な概念や基本的なPythonの文法について学びました。具体的には＊などの演算子やprint、if等の関数についてです。
67376,64133,EDUCATION,Legalwow,student,,
67374,64131,EDUCATION,JunT_ehime_U,student,,
67373,64129,EDUCATION,2roumauma,student,,
67372,64130,EDUCATION,tempra256,student,,
67371,64128,EDUCATION,takechou,student,,
67370,64127,EDUCATION,TsubasaY,student,,
67368,64126,EDUCATION,yutadesu,student,,
67366,64124,EDUCATION,AobaISHII,student,,
67365,64120,EDUCATION,Leomassy30,student,,
67364,64123,EDUCATION,Sonotamaru,student,,
67362,64121,EDUCATION,Kanata_Ohashi,student,,
67361,64117,EDUCATION,gokeigen,student,,
67360,64118,EDUCATION,kyouichi,student,,
67359,64114,EDUCATION,ayano0118,student,,
67358,64113,EDUCATION,soyadayouhyo,student,,
67357,64112,EDUCATION,KY123hit-u,student,,
67356,64111,EDUCATION,yugeshin,student,,
67355,64110,EDUCATION,Harinezumi14,student,,
67354,64108,EDUCATION,TakahashiRio,student,,
67353,64262,EDUCATION,kikuchi322256,student,,
67351,64106,EDUCATION,Laika1106,student,,
67350,64107,EDUCATION,daiki000,student,,
67349,64109,EDUCATION,chelsea33,student,,
67348,64103,EDUCATION,Mieux14k,student,,
67347,64104,EDUCATION,musclepeople,student,,
67346,64100,EDUCATION,yutaro1225,student,3,pythonの基礎、およびデータ分析に関わる超基礎的な値の確認と、それらのpythonでの計算の方法。
67345,64101,EDUCATION,akikazutoshi,student,,
67341,64096,EDUCATION,otoyacelavie,student,,
67340,64201,EDUCATION,RYOUYA23,student,,
67339,64095,EDUCATION,88sakura88,student,,
67338,64094,EDUCATION,dokidoki,student,,
67337,64102,EDUCATION,INAMOTO_Kaito,student,,
67336,64093,EDUCATION,Tasumi2005,student,,
67334,64091,EDUCATION,Eito0825,student,,
67333,64090,EDUCATION,ktkt2323,student,,
67332,64092,EDUCATION,H-Shinkai,student,4,データサイエンスは、データの理解、データの前処理、モデルの構築、モデルの評価の4段階で行うということ、Pythonの基礎的な書き方を学びました。
67331,64159,EDUCATION,RinkaKato,student,,
67330,64089,EDUCATION,ray0nucse,student,,
67329,64088,EDUCATION,NShun0RK,student,,
67328,64085,EDUCATION,Manato-OKADA,student,,
67326,64084,EDUCATION,babukinngu,student,,
67325,64086,EDUCATION,Misora2017,student,,
67324,64082,EDUCATION,TokiwaYT,student,,
67323,64081,EDUCATION,miwasato,student,,
67322,64079,EDUCATION,naoya1225,student,,
67321,64080,EDUCATION,yamadatarou123,student,,
67320,64078,EDUCATION,Alex-Yuuki-A,student,,
67319,64077,EDUCATION,FumiyaK225,student,,
67318,64076,EDUCATION,takano_kai,student,,
